id,name,onsale_price,brand,category,os,cpu,gpu,rating,reviews_count,is_new,url,retailer,created_at,updated_at
340559,"Laptop Dell Inspiron 15 3530 - N3530-i7U161W11SLU (i7 1355U, 16GB, 1TB, Full HD 120Hz, OfficeH24+365, Win11)",21990000,Dell,Laptop,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,Intel Core i7 Raptor Lake - 1355U,Intel Iris Xe Graphics,5.0,125,True,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n3530-i7u161w11slu,TGDD,2025,2025-08-27 21:51:54
333359,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,22000000,Samsung,Smartphone,Android 15,,,4.9,3572,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus,TGDD,01/2025,2025-08-27 21:51:54
332255,Điện thoại HONOR Magic V3 5G 12GB/512GB,29990000,HONOR,Smartphone,Android 14,,,5.0,105,True,https://www.thegioididong.com/dtdd/honor-magic-v3,TGDD,12/2024,2025-08-27 21:51:54
340564,"Laptop Asus Vivobook 15 OLED A1505VA - MA515WS (i5 13420H, 16GB, 512GB, 2.8K OLED 120Hz, OfficeH24+365, Win11)",16990000,Asus,Laptop,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,Intel Core i5 Raptor Lake - 13420H,Intel UHD Graphics,5.0,163,True,https://www.thegioididong.com/laptop/asus-vivobook-a1505va-i5-ma515ws,TGDD,2025,2025-08-27 21:51:54
309835,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng,13990000,OPPO,Smartphone,Android 13,,,4.9,1564,True,https://www.thegioididong.com/dtdd/oppo-find-n3-flip,TGDD,10/2023,2025-08-27 21:51:54
317712,"Laptop Asus Vivobook 14 X1404ZA - NK246W (i3 1215U, 8GB, 512GB, Full HD, Win11)",10490000,Asus,Laptop,Windows 11 Home SL,1215U,Intel UHD Graphics,4.9,6772,True,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w,TGDD,2023,2025-08-27 21:51:54
303891,Điện thoại iPhone 15 Plus 128GB,18890000,iPhone (Apple),Smartphone,iOS 17,,,4.9,54567,True,https://www.thegioididong.com/dtdd/iphone-15-plus,TGDD,09/2023,2025-08-27 21:51:54
311033,Điện thoại Nokia 105 4G Pro,670000,Nokia,Phone,Series 30+,,,4.9,300828,True,https://www.thegioididong.com/dtdd/nokia-105-4g-pro,TGDD,07/2023,2025-08-27 21:51:54
339179,Điện thoại vivo Y39 5G 8GB/256GB,8340000,vivo,Smartphone,Android 15,,,5.0,2137,True,https://www.thegioididong.com/dtdd/vivo-y39-5g-256gb,TGDD,06/2025,2025-08-27 21:51:54
335638,Điện thoại Xiaomi Redmi 13x 8GB/128GB,4210000,Xiaomi,Smartphone,Xiaomi HyperOS (Android 14),,,4.9,33117,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-13x,TGDD,03/2025,2025-08-27 21:51:54
328750,Điện thoại Samsung Galaxy A06 6GB/128GB,3530000,Samsung,Smartphone,Android 14,,,4.9,191705,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-6gb-128gb,TGDD,08/2024,2025-08-27 21:51:54
327710,"Laptop MSI Modern 14 C13M - 611VN (i5 1335U, 16GB, 512GB, Full HD, Win11)",14690000,MSI,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 1335U,Intel Iris Xe Graphics,5.0,522,True,https://www.thegioididong.com/laptop/msi-modern-14-c13m-i5-611vn,TGDD,2023,2025-08-27 21:51:54
333363,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,17790000,Samsung,Smartphone,Android 15,,,4.9,3953,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,TGDD,01/2025,2025-08-27 21:51:54
337713,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 12GB/512GB,12260000,Xiaomi,Smartphone,Android 14,,,4.9,9318,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus-5g-12gb-512gb,TGDD,01/2025,2025-08-27 21:51:54
334933,Điện thoại Samsung Galaxy A06 5G 4GB/128GB,3520000,Samsung,Smartphone,Android 15,,,5.0,2213,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g,TGDD,03/2025,2025-08-27 21:51:54
