id,name,onsale_price,brand,category,os,cpu/chipset,gpu,ram,storage,rating,reviews_count,is_new,url,retailer,created_at,updated_at
319665,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,17510000,Samsung,Smartphone,Android 14,Exynos 2400 10 nhân,,8 GB,256 GB,4.9,16179,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g,TGDD,01/2024,2025-08-28 22:40:39
329007,Điện thoại Xiaomi Redmi 14C 4GB/128GB,3130000,Xiaomi,Smartphone,Android 14,MediaTek Helio G81-Ultra 8 nhân,,4 GB,128 GB,4.9,26959,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-14c-4gb-128gb,TGDD,08/2024,2025-08-28 22:40:39
335925,Điện thoại Samsung Galaxy S25 Edge 5G 12GB/256GB,23490000,Samsung,Smartphone,Android 15,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,,12 GB,256 GB,5.0,417,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g,TGDD,05/2025,2025-08-28 22:40:39
341625,Điện thoại vivo V60 5G 12GB/256GB,15990000,vivo,Smartphone,Android 15,Snapdragon 7 Gen 4 8 nhân,,12 GB,256 GB,,,True,https://www.thegioididong.com/dtdd/vivo-v60-12gb-256gb,TGDD,08/2025,2025-08-28 22:40:39
335175,Điện thoại Samsung Galaxy A36 5G 8GB/128GB,7840000,Samsung,Smartphone,Android 15,Snapdragon 6 Gen 3 8 nhân,,8 GB,128 GB,4.9,2296,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a36-8gb-128gb,TGDD,03/2025,2025-08-28 22:40:39
326049,"Laptop HP 245 G10 - A20TDPT (R5 7530U, 8GB, 512GB, Full HD, Win11)",12190000,HP,Laptop,Windows 11 Home SL,AMD Ryzen 5 - 7530U,Card tích hợp - AMD Radeon Graphics,8 GB DDR4 (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,512 GB SSD NVMe PCIe,4.9,5921,True,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,TGDD,2024,2025-08-28 22:40:39
322100,"Laptop MSI Gaming Sword 16 HX B14VFKG - 045VN (i7 14700HX, 16GB, 1TB, RTX 4060 8GB, QHD+ 240Hz, Win11)",35590000,MSI,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 14700HX,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",16 GB DDR5 (1 khe 8 GB + 1 khe 8 GB) 5600 MHz,1 TB SSD NVMe PCIe Gen 4,4.9,192,True,https://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,TGDD,2024,2025-08-28 22:40:39
338206,"Laptop HP 240 G10 - B73TJAT (i3 1315U, 8GB, 512GB, Full HD, Win11)",11590000,HP,Laptop,Windows 11 Home SL,Intel Core i3 Raptor Lake - 1315U,Intel UHD Graphics,8 GB DDR4 (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",5.0,260,True,https://www.thegioididong.com/laptop/hp-240-g10-i3-b73tjat,TGDD,2024,2025-08-28 22:40:39
333351,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/512GB,29180000,Samsung,Smartphone,Android 15,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,,12 GB,512 GB,5.0,3681,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra-512gb,TGDD,01/2025,2025-08-28 22:40:39
332370,"Laptop Lenovo ThinkBook 16 G7 - 21MS007HVN (Ultra 7 155U, 32GB, 1TB, WUXGA, Win11)",28090000,Lenovo,Laptop,Windows 11 Home SL,Intel Core Ultra 7 Meteor Lake - 155U,Card tích hợp - Intel Graphics,32 GB DDR5 (1 khe 16 GB + 1 khe 16 GB) 5600 MHz,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",5.0,68,True,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-7-21ms007hvn,TGDD,2024,2025-08-28 22:40:39
317981,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,13990000,OPPO,Smartphone,Android 13,MediaTek Dimensity 9200 5G 8 nhân,,12 GB,256 GB,4.9,2214,True,https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong,TGDD,10/2023,2025-08-28 22:40:39
307174,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,23300000,Samsung,Smartphone,Android 14,Snapdragon 8 Gen 3 for Galaxy,,12 GB,256 GB,4.9,36474,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,TGDD,01/2024,2025-08-28 22:40:39
341612,"Laptop MSI Katana 15 B13VEK - 2256VN (i7 13620H, 16GB, 512GB, RTX4050 6GB, Full HD 144Hz, Win11)",25190000,MSI,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB DDR5 (1 khe 16 GB + 1 khe rời) 5200 MHz,512 GB SSD NVMe PCIe Gen 4.0,5.0,20,True,https://www.thegioididong.com/laptop/msi-katana-15-b13vek-i7-13620h-2256vn,TGDD,2024,2025-08-28 22:40:39
338741,Điện thoại Samsung Galaxy Z Flip7 FE 5G 8GB/128GB,18990000,Samsung,Smartphone,Android 16,Exynos 2400 10 nhân,,8 GB,128 GB,5.0,357,True,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7-fe,TGDD,07/2025,2025-08-28 22:40:39
